S,T,result,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
textos/file1.txt,textos/file2.txt,3966,1.07986e+08,3.58383e+06,1.03773e+08,1.05302e+08,1.06911e+08,1.09822e+08,1.16188e+08
textos/file1.txt,textos/file3.txt,7175,2.00684e+08,5.52398e+06,1.91597e+08,1.96305e+08,1.99322e+08,2.06132e+08,2.10541e+08
textos/file1.txt,textos/file4.txt,9447,2.61266e+08,6.3333e+06,2.52082e+08,2.56224e+08,2.59953e+08,2.65597e+08,2.79915e+08
textos/file2.txt,textos/file1.txt,3966,1.10065e+08,3.29345e+06,1.04341e+08,1.07214e+08,1.10583e+08,1.1275e+08,1.18666e+08
textos/file2.txt,textos/file3.txt,7611,4.33881e+08,7.76631e+06,4.19996e+08,4.27691e+08,4.3197e+08,4.40324e+08,4.50849e+08
textos/file2.txt,textos/file4.txt,9755,5.80663e+08,2.20683e+07,5.36512e+08,5.65996e+08,5.81587e+08,5.90853e+08,6.24784e+08
textos/file3.txt,textos/file1.txt,7175,2.09263e+08,7.49208e+06,1.96313e+08,2.04125e+08,2.08603e+08,2.12728e+08,2.26268e+08
textos/file3.txt,textos/file2.txt,7611,4.48268e+08,1.32669e+07,4.20738e+08,4.3959e+08,4.48672e+08,4.56332e+08,4.74899e+08
textos/file3.txt,textos/file4.txt,11388,1.05231e+09,2.85738e+07,9.98338e+08,1.03038e+09,1.04463e+09,1.07774e+09,1.10844e+09
textos/file4.txt,textos/file1.txt,9447,2.62458e+08,7.32783e+06,2.50951e+08,2.57683e+08,2.61608e+08,2.6746e+08,2.80307e+08
textos/file4.txt,textos/file2.txt,9755,5.57945e+08,1.23056e+07,5.42408e+08,5.47427e+08,5.5538e+08,5.68098e+08,5.84054e+08
textos/file4.txt,textos/file3.txt,11388,1.05633e+09,1.97663e+07,1.01848e+09,1.04558e+09,1.05397e+09,1.06695e+09,1.10291e+09
