S,T,result,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
textos/file1.txt,textos/file2.txt,3966,7.35298e+07,3.58354e+06,6.98668e+07,7.13293e+07,7.21714e+07,7.46242e+07,8.30256e+07
textos/file1.txt,textos/file3.txt,7175,1.37099e+08,3.748e+06,1.31422e+08,1.3338e+08,1.37069e+08,1.39502e+08,1.45215e+08
textos/file1.txt,textos/file4.txt,9447,1.72537e+08,2.80456e+06,1.68605e+08,1.7013e+08,1.71987e+08,1.74847e+08,1.77889e+08
textos/file2.txt,textos/file1.txt,3966,6.9456e+07,873514,6.8166e+07,6.86329e+07,6.94031e+07,7.014e+07,7.17813e+07
textos/file2.txt,textos/file3.txt,7611,2.98753e+08,5.35428e+06,2.90584e+08,2.94384e+08,2.9908e+08,3.01468e+08,3.12151e+08
textos/file2.txt,textos/file4.txt,9755,3.75767e+08,5.72627e+06,3.68489e+08,3.71221e+08,3.74109e+08,3.79978e+08,3.87472e+08
textos/file3.txt,textos/file1.txt,7175,1.23764e+08,1.04133e+06,1.22139e+08,1.22965e+08,1.2358e+08,1.24153e+08,1.27411e+08
textos/file3.txt,textos/file2.txt,7611,2.78432e+08,2.08215e+06,2.76226e+08,2.77331e+08,2.78023e+08,2.7863e+08,2.84855e+08
textos/file3.txt,textos/file4.txt,11388,6.89719e+08,8.67301e+06,6.80741e+08,6.83217e+08,6.86471e+08,6.95338e+08,7.12253e+08
textos/file4.txt,textos/file1.txt,9447,1.58855e+08,3.56868e+06,1.53878e+08,1.56349e+08,1.5767e+08,1.61008e+08,1.66987e+08
textos/file4.txt,textos/file2.txt,9755,3.57343e+08,5.68062e+06,3.48436e+08,3.52784e+08,3.56429e+08,3.62172e+08,3.69892e+08
textos/file4.txt,textos/file3.txt,11388,6.7852e+08,2.42515e+06,6.73646e+08,6.77283e+08,6.78458e+08,6.79546e+08,6.86432e+08
