S,T,result,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
textos/file1.txt,textos/file2.txt,3966,2.46029e+08,1.29025e+07,2.32786e+08,2.37812e+08,2.43195e+08,2.50012e+08,3.02683e+08
textos/file1.txt,textos/file3.txt,7175,4.37232e+08,2.07774e+07,3.96343e+08,4.27681e+08,4.3555e+08,4.48492e+08,5.01287e+08
textos/file1.txt,textos/file4.txt,9447,6.06159e+08,2.02199e+07,5.75895e+08,5.94162e+08,6.00192e+08,6.15573e+08,6.59722e+08
textos/file2.txt,textos/file1.txt,3966,2.6077e+08,7.63087e+06,2.48125e+08,2.53412e+08,2.62401e+08,2.64536e+08,2.7897e+08
textos/file2.txt,textos/file3.txt,7611,1.02752e+09,4.93079e+07,9.45623e+08,1.00019e+09,1.02365e+09,1.04578e+09,1.17707e+09
textos/file2.txt,textos/file4.txt,9755,1.3077e+09,6.36255e+07,1.22802e+09,1.26489e+09,1.30197e+09,1.34088e+09,1.51608e+09
textos/file3.txt,textos/file1.txt,7175,4.79136e+08,2.23583e+07,4.4148e+08,4.63636e+08,4.75733e+08,4.98925e+08,5.19076e+08
textos/file3.txt,textos/file2.txt,7611,1.01627e+09,4.57248e+07,9.62047e+08,9.8074e+08,1.0182e+09,1.02855e+09,1.15635e+09
textos/file3.txt,textos/file4.txt,11388,2.56093e+09,1.16303e+08,2.37955e+09,2.46234e+09,2.55004e+09,2.64987e+09,2.78956e+09
textos/file4.txt,textos/file1.txt,9447,6.07348e+08,1.44134e+07,5.83229e+08,5.94615e+08,6.06011e+08,6.19379e+08,6.42682e+08
textos/file4.txt,textos/file2.txt,9755,1.31225e+09,2.90773e+07,1.26821e+09,1.2911e+09,1.30497e+09,1.33127e+09,1.38058e+09
textos/file4.txt,textos/file3.txt,11388,2.46948e+09,1.34869e+08,2.32008e+09,2.36642e+09,2.4231e+09,2.56992e+09,2.89224e+09
