S,T,result,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
textos/file1s.txt,textos/file2s.txt,18,3732.25,928.179,3203,3224.75,3303,3810.5,5120
textos/file1s.txt,textos/file3s.txt,31,8813,749.548,8395,8410.75,8461,8863.25,9935
textos/file1s.txt,textos/file4s.txt,204,39390,4294.29,36974,37181.8,37381.5,39589.8,45823
textos/file2s.txt,textos/file1s.txt,18,2809.5,204.05,2662,2677.75,2736,2867.75,3104
textos/file2s.txt,textos/file3s.txt,29,4471.5,341.751,4242,4289.25,4332.5,4514.75,4979
textos/file2s.txt,textos/file4s.txt,206,16385.2,748.032,15752,15769.2,16262.5,16878.5,17264
textos/file3s.txt,textos/file1s.txt,31,10110.2,531.025,9746,9842.75,9898,10165.5,10899
textos/file3s.txt,textos/file2s.txt,29,6562.75,348.644,6236,6286.25,6531.5,6808,6952
textos/file3s.txt,textos/file4s.txt,193,140012,35469.2,120430,121184,123242,142070,193132
textos/file4s.txt,textos/file1s.txt,204,63751,14989.1,54695,55775.8,57084,65059.2,86141
textos/file4s.txt,textos/file2s.txt,206,42364.8,15781.9,33552,33785.2,34964.5,43544,65978
textos/file4s.txt,textos/file3s.txt,193,148831,13922.6,138012,142004,144026,150854,169260
