algoritmo,S,T,result,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,used_memory
recursive,textos/file1s.txt,textos/file2s.txt,18,273726,12827.4,261226,263705,273072,283094,287532,3584
recursive,textos/file1s.txt,textos/file3s.txt,31,2.76895e+10,3.66072e+08,2.71592e+10,2.76025e+10,2.78079e+10,2.78949e+10,2.7983e+10,3584
recursive,textos/file2s.txt,textos/file1s.txt,18,304477,10827.5,294360,298234,302038,308282,319471,3584
recursive,textos/file2s.txt,textos/file3s.txt,29,6.0559e+06,54226.2,5.98155e+06,6.03283e+06,6.07104e+06,6.09412e+06,6.09997e+06,3712
recursive,textos/file3s.txt,textos/file1s.txt,31,2.62265e+10,2.48025e+08,2.59707e+10,2.61091e+10,2.61855e+10,2.63029e+10,2.65641e+10,3712
recursive,textos/file3s.txt,textos/file2s.txt,29,5.96622e+06,22399.7,5.94144e+06,5.95048e+06,5.96741e+06,5.98314e+06,5.98861e+06,3584
memo,textos/file1s.txt,textos/file2s.txt,18,3732.25,928.179,3203,3224.75,3303,3810.5,5120,3712
memo,textos/file1s.txt,textos/file3s.txt,31,8813,749.548,8395,8410.75,8461,8863.25,9935,3584
memo,textos/file1s.txt,textos/file4s.txt,204,39390,4294.29,36974,37181.8,37381.5,39589.8,45823,3584
memo,textos/file2s.txt,textos/file1s.txt,18,2809.5,204.05,2662,2677.75,2736,2867.75,3104,3712
memo,textos/file2s.txt,textos/file3s.txt,29,4471.5,341.751,4242,4289.25,4332.5,4514.75,4979,3584
memo,textos/file2s.txt,textos/file4s.txt,206,16385.2,748.032,15752,15769.2,16262.5,16878.5,17264,3712
memo,textos/file3s.txt,textos/file1s.txt,31,10110.2,531.025,9746,9842.75,9898,10165.5,10899,3584
memo,textos/file3s.txt,textos/file2s.txt,29,6562.75,348.644,6236,6286.25,6531.5,6808,6952,3712
memo,textos/file3s.txt,textos/file4s.txt,193,140012,35469.2,120430,121184,123242,142070,193132,3712
memo,textos/file4s.txt,textos/file1s.txt,204,63751,14989.1,54695,55775.8,57084,65059.2,86141,3712
memo,textos/file4s.txt,textos/file2s.txt,206,42364.8,15781.9,33552,33785.2,34964.5,43544,65978,3584
memo,textos/file4s.txt,textos/file3s.txt,193,148831,13922.6,138012,142004,144026,150854,169260,3840
DP,textos/file1s.txt,textos/file2s.txt,18,4774.25,2218.08,2975,3528.5,4071,5316.75,7980,3712
DP,textos/file1s.txt,textos/file3s.txt,31,6452.5,429.689,6086,6250.25,6325,6527.25,7074,3584
DP,textos/file1s.txt,textos/file4s.txt,204,30557.8,810.218,29748,30045.8,30434.5,30946.5,31614,3712
DP,textos/file2s.txt,textos/file1s.txt,18,2539.5,453.224,2094,2232,2474,2781.5,3116,3584
DP,textos/file2s.txt,textos/file3s.txt,29,3804,300.304,3549,3601.5,3725,3927.5,4217,3712
DP,textos/file2s.txt,textos/file4s.txt,206,17177.8,318.056,16821,16987.5,17165,17355.2,17560,3712
DP,textos/file3s.txt,textos/file1s.txt,31,7255.25,518.358,6881,6893.75,7075.5,7437,7989,3584
DP,textos/file3s.txt,textos/file2s.txt,29,5262.5,399.066,5000,5023.25,5099.5,5338.75,5851,3712
DP,textos/file3s.txt,textos/file4s.txt,193,74956.2,8704.24,68815,70174.8,71601,76382.5,87808,3584
DP,textos/file4s.txt,textos/file1s.txt,204,47305,144.93,47210,47234,47244.5,47315.5,47521,3712
DP,textos/file4s.txt,textos/file2s.txt,206,32953.8,141.724,32808,32845.5,32957,33065.2,33093,3584
DP,textos/file4s.txt,textos/file3s.txt,193,89737.2,6764.64,84324,85883.2,87550.5,91404.5,99524,3584
DPO,textos/file1s.txt,textos/file2s.txt,18,1383.25,366.532,1089,1210.5,1262.5,1435.25,1919,3584
DPO,textos/file1s.txt,textos/file3s.txt,31,3665,194.688,3516,3518.25,3608,3754.75,3928,3584
DPO,textos/file1s.txt,textos/file4s.txt,204,27092.5,8241.57,21467,21542.8,23966.5,29516.2,38970,3584
DPO,textos/file2s.txt,textos/file1s.txt,18,1211.75,159.27,1061,1084.25,1202,1329.5,1382,3584
DPO,textos/file2s.txt,textos/file3s.txt,29,2192.5,132.722,2057,2108.75,2175,2258.75,2363,3584
DPO,textos/file2s.txt,textos/file4s.txt,206,12634.8,228.074,12387,12471.8,12642.5,12805.5,12867,3584
DPO,textos/file3s.txt,textos/file1s.txt,31,6092.75,4285.43,3783,3813,4037.5,6317.25,12513,3584
DPO,textos/file3s.txt,textos/file2s.txt,29,2396.5,175.109,2192,2283.5,2410.5,2523.5,2573,3584
DPO,textos/file3s.txt,textos/file4s.txt,193,59288,10224.7,50685,51069,57330,65549,71807,3584
DPO,textos/file4s.txt,textos/file1s.txt,204,24416,865.926,23827,23980,24067,24503,25703,3584
DPO,textos/file4s.txt,textos/file2s.txt,206,17832,8564.47,13273,13408.8,13691.5,18114.8,30672,3712
DPO,textos/file4s.txt,textos/file3s.txt,193,51157,415.873,50773,50845,51092.5,51404.5,51670,3712
