algoritmo,S,T,memoria_usada
recursive,textos/file1s.txt,textos/file2s.txt,3584
recursive,textos/file1s.txt,textos/file3s.txt,3584
recursive,textos/file2s.txt,textos/file1s.txt,3584
recursive,textos/file2s.txt,textos/file3s.txt,3712
recursive,textos/file3s.txt,textos/file1s.txt,3712
recursive,textos/file3s.txt,textos/file2s.txt,3584
memo,textos/file1s.txt,textos/file2s.txt,3712
memo,textos/file1s.txt,textos/file3s.txt,3584
memo,textos/file1s.txt,textos/file4s.txt,3584
memo,textos/file2s.txt,textos/file1s.txt,3712
memo,textos/file2s.txt,textos/file3s.txt,3584
memo,textos/file2s.txt,textos/file4s.txt,3712
memo,textos/file3s.txt,textos/file1s.txt,3584
memo,textos/file3s.txt,textos/file2s.txt,3712
memo,textos/file3s.txt,textos/file4s.txt,3712
memo,textos/file4s.txt,textos/file1s.txt,3712
memo,textos/file4s.txt,textos/file2s.txt,3584
memo,textos/file4s.txt,textos/file3s.txt,3840
DP,textos/file1s.txt,textos/file2s.txt,3712
DP,textos/file1s.txt,textos/file3s.txt,3584
DP,textos/file1s.txt,textos/file4s.txt,3712
DP,textos/file2s.txt,textos/file1s.txt,3584
DP,textos/file2s.txt,textos/file3s.txt,3712
DP,textos/file2s.txt,textos/file4s.txt,3712
DP,textos/file3s.txt,textos/file1s.txt,3584
DP,textos/file3s.txt,textos/file2s.txt,3712
DP,textos/file3s.txt,textos/file4s.txt,3584
DP,textos/file4s.txt,textos/file1s.txt,3712
DP,textos/file4s.txt,textos/file2s.txt,3584
DP,textos/file4s.txt,textos/file3s.txt,3584
DPO,textos/file1s.txt,textos/file2s.txt,3584
DPO,textos/file1s.txt,textos/file3s.txt,3584
DPO,textos/file1s.txt,textos/file4s.txt,3584
DPO,textos/file2s.txt,textos/file1s.txt,3584
DPO,textos/file2s.txt,textos/file3s.txt,3584
DPO,textos/file2s.txt,textos/file4s.txt,3584
DPO,textos/file3s.txt,textos/file1s.txt,3584
DPO,textos/file3s.txt,textos/file2s.txt,3584
DPO,textos/file3s.txt,textos/file4s.txt,3584
DPO,textos/file4s.txt,textos/file1s.txt,3584
DPO,textos/file4s.txt,textos/file2s.txt,3712
DPO,textos/file4s.txt,textos/file3s.txt,3712
